majorTitle,catalogYear,courseCode,prefix,courseTypeId
Computer Engineering (B.S),2018-2019,1001,CSCE,2
Computer Engineering (B.S),2018-2019,1101,CSCE,2
Computer Engineering (B.S),2018-2019,1102,CSCE,2
Computer Engineering (B.S),2018-2019,2202,CSCE,2
Computer Engineering (B.S),2018-2019,2203,CSCE,2
Computer Engineering (B.S),2018-2019,2301,CSCE,2
Computer Engineering (B.S),2018-2019,2303,CSCE,2
Computer Engineering (B.S),2018-2019,2302,CSCE,2
Computer Engineering (B.S),2018-2019,2501,CSCE,2
Computer Engineering (B.S),2018-2019,3301,CSCE,2
Computer Engineering (B.S),2018-2019,3303,CSCE,2
Computer Engineering (B.S),2018-2019,3304,CSCE,2
Computer Engineering (B.S),2018-2019,3302,CSCE,2
Computer Engineering (B.S),2018-2019,3701,CSCE,2
Computer Engineering (B.S),2018-2019,3401,CSCE,2
Computer Engineering (B.S),2018-2019,3402,CSCE,2
Computer Engineering (B.S),2018-2019,3611,CSCE,2
Computer Engineering (B.S),2018-2019,4301,CSCE,2
Computer Engineering (B.S),2018-2019,4311,CSCE,2
Computer Engineering (B.S),2018-2019,4302,CSCE,2
Computer Engineering (B.S),2018-2019,4312,CSCE,2
Computer Engineering (B.S),2018-2019,4411,CSCE,2
Computer Engineering (B.S),2018-2019,4950,CSCE,2
Computer Engineering (B.S),2018-2019,4980,CSCE,2
Computer Engineering (B.S),2018-2019,4981,CSCE,2
Computer Engineering (B.S),2018-2019,3201,MGMT,2
Computer Engineering (B.S),2018-2019,3101,CSCE,3
Computer Engineering (B.S),2018-2019,3102,CSCE,3
Computer Engineering (B.S),2018-2019,3103,CSCE,3
Computer Engineering (B.S),2018-2019,3104,CSCE,3
Computer Engineering (B.S),2018-2019,3311,CSCE,3
Computer Engineering (B.S),2018-2019,4201,CSCE,3
Computer Engineering (B.S),2018-2019,4602,CSCE,3
Computer Engineering (B.S),2018-2019,4314,CSCE,3
Computer Engineering (B.S),2018-2019,4313,CSCE,3
Computer Engineering (B.S),2018-2019,4701,CSCE,3
Computer Engineering (B.S),2018-2019,4421,CSCE,3
Computer Engineering (B.S),2018-2019,4101,CSCE,3
Computer Engineering (B.S),2018-2019,4501,CSCE,3
Computer Engineering (B.S),2018-2019,4621,CSCE,3
Computer Engineering (B.S),2018-2019,4502,CSCE,3
Computer Engineering (B.S),2018-2019,4603,CSCE,3
Computer Engineering (B.S),2018-2019,4601,CSCE,3
Computer Engineering (B.S),2018-2019,4702,CSCE,3
Computer Engineering (B.S),2018-2019,4930,CSCE,3
Computer Engineering (B.S),2018-2019,4910,CSCE,3
Computer Engineering (B.S),2018-2019,4103,ECNG,3
Computer Engineering (B.S),2018-2019,4930,ECNG,3
Computer Engineering (B.S),2018-2019,1005,CHEM,5
Computer Engineering (B.S),2018-2019,1015,CHEM,5
Computer Engineering (B.S),2018-2019,1001,ENGR,5
Computer Engineering (B.S),2018-2019,1005,ENGR,5
Computer Engineering (B.S),2018-2019,2102,ENGR,5
Computer Engineering (B.S),2018-2019,2104,ENGR,5
Computer Engineering (B.S),2018-2019,3202,ENGR,5
Computer Engineering (B.S),2018-2019,3222,ENGR,5
Computer Engineering (B.S),2018-2019,3322,ENGR,5
Computer Engineering (B.S),2018-2019,1121,MACT,5
Computer Engineering (B.S),2018-2019,1122,MACT,5
Computer Engineering (B.S),2018-2019,2131,MACT,5
Computer Engineering (B.S),2018-2019,2123,MACT,5
Computer Engineering (B.S),2018-2019,2141,MACT,5
Computer Engineering (B.S),2018-2019,2132,MACT,5
Computer Engineering (B.S),2018-2019,3224,MACT,5
Computer Engineering (B.S),2018-2019,1011,PHYS,5
Computer Engineering (B.S),2018-2019,1021,PHYS,5
Computer Engineering (B.S),2018-2019,1012,PHYS,5
Computer Engineering (B.S),2018-2019,1022,PHYS,5
Computer Engineering (B.S),2018-2019,2211,PHYS,5
Computer Engineering (B.S),2018-2019,2213,PHYS,5
Computer Science (B.S),2018-2019,1001,CSCE,2
Computer Science (B.S),2018-2019,1101,CSCE,2
Computer Science (B.S),2018-2019,1102,CSCE,2
Computer Science (B.S),2018-2019,2202,CSCE,2
Computer Science (B.S),2018-2019,2203,CSCE,2
Computer Science (B.S),2018-2019,2301,CSCE,2
Computer Science (B.S),2018-2019,2303,CSCE,2
Computer Science (B.S),2018-2019,2302,CSCE,2
Computer Science (B.S),2018-2019,3104,CSCE,2
Computer Science (B.S),2018-2019,3301,CSCE,2
Computer Science (B.S),2018-2019,3302,CSCE,2
Computer Science (B.S),2018-2019,3701,CSCE,2
Computer Science (B.S),2018-2019,3401,CSCE,2
Computer Science (B.S),2018-2019,3402,CSCE,2
Computer Science (B.S),2018-2019,4201,CSCE,2
Computer Science (B.S),2018-2019,4101,CSCE,2
Computer Science (B.S),2018-2019,4950,CSCE,2
Computer Science (B.S),2018-2019,4980,CSCE,2
Computer Science (B.S),2018-2019,4981,CSCE,2
Computer Science (B.S),2018-2019,2501,CSCE,3
Computer Science (B.S),2018-2019,3101,CSCE,3
Computer Science (B.S),2018-2019,3102,CSCE,3
Computer Science (B.S),2018-2019,3103,CSCE,3
Computer Science (B.S),2018-2019,3311,CSCE,3
Computer Science (B.S),2018-2019,4602,CSCE,3
Computer Science (B.S),2018-2019,4301,CSCE,3
Computer Science (B.S),2018-2019,3303,CSCE,3
Computer Science (B.S),2018-2019,3304,CSCE,3
Computer Science (B.S),2018-2019,4311,CSCE,3
Computer Science (B.S),2018-2019,3611,CSCE,3
Computer Science (B.S),2018-2019,4314,CSCE,3
Computer Science (B.S),2018-2019,4313,CSCE,3
Computer Science (B.S),2018-2019,4302,CSCE,3
Computer Science (B.S),2018-2019,4312,CSCE,3
Computer Science (B.S),2018-2019,4701,CSCE,3
Computer Science (B.S),2018-2019,4411,CSCE,3
Computer Science (B.S),2018-2019,4421,CSCE,3
Computer Science (B.S),2018-2019,4702,CSCE,3
Computer Science (B.S),2018-2019,4501,CSCE,3
Computer Science (B.S),2018-2019,4621,CSCE,3
Computer Science (B.S),2018-2019,4502,CSCE,3
Computer Science (B.S),2018-2019,4601,CSCE,3
Computer Science (B.S),2018-2019,4603,CSCE,3
Computer Science (B.S),2018-2019,4930,CSCE,3
Computer Science (B.S),2018-2019,4910,CSCE,3
Computer Science (B.S),2018-2019,3143,MACT,3
Computer Science (B.S),2018-2019,3145,MACT,3
Computer Science (B.S),2018-2019,3133,MACT,3
Computer Science (B.S),2018-2019,4134,MACT,3
Computer Science (B.S),2018-2019,4212,MACT,3
Computer Science (B.S),2018-2019,4135,MACT,3
Computer Science (B.S),2018-2019,2141,MACT,3
Computer Science (B.S),2018-2019,1121,MACT,4
Computer Science (B.S),2018-2019,1122,MACT,4
Computer Science (B.S),2018-2019,2131,MACT,4
Computer Science (B.S),2018-2019,2123,MACT,4
Computer Science (B.S),2018-2019,2132,MACT,4
Computer Science (B.S),2018-2019,3224,MACT,4
Computer Science (B.S),2018-2019,1011,PHYS,4
Computer Science (B.S),2018-2019,1021,PHYS,4
Computer Science (B.S),2018-2019,1012,PHYS,4
Computer Science (B.S),2018-2019,1022,PHYS,4
Computer Science (B.S),2018-2019,2211,PHYS,4
Computer Science (B.S),2018-2019,2213,PHYS,4
