courseCode,prefix,courseTypeId
-8,XXXX,1
-7,XXXX,1
-6,XXXX,1
-4,XXXX,1
-3,XXXX,1
-2,XXXX,1
1010,RHET,1
1010,CORE,1
1020,RHET,1
1020,SCI,1
1020,LALT,1
2100,PHIL,1
