Accounting Minor ,
American Studies Minor ,
Anthropology Minor ,
Applied Probability and Statistics Minor ,
Arab and Islamic Civilizations Minor ,
Arabic Literature Minor ,
Arabic Writing and Reporting Minor ,
Archaeological Chemistry Minor ,
Architectural Design Minor ,
Bioinformatics Minor ,
Biology Minor ,
Biomedical Sciences Minor ,
Business Administration Minor ,
Chemistry Minor ,
Classical/Medieval Islamic History Minor ,
Community Development and Organizing Minor ,
Comparative Religion Minor ,
Computer Science Minor ,
Coptic Studies Minor  ,
Design of Interior Spaces Minor ,
Development Studies Minor ,
Interactive Media Design Minor ,
Economics Minor ,
Educational Studies Minor ,
Egyptology Minor ,
Electronics Minor ,
English and Comparative Literature Minor ,
Entrepreneurship Minor ,
Environmental Science Minor ,
Film Minor ,
Financial Mathematics Minor ,
Global and Public Affairs Minor ,
Gender Studies Minor  ,
History Minor ,
Information Systems Minor ,
International Relations Minor ,
Islamic Art and Architecture Minor ,
Islamic Studies Minor ,
Journalism and Mass Communication Minor ,
Linguistics Minor ,
Mathematics Minor ,
Mechatronics ,
Middle East Politics Minor ,
Music Minor ,
Music Technology Minor  ,
Petroleum Engineering Minor ,
Philosophy Minor ,
Physics Minor ,
Political Economy Minor ,
Political Science Minor ,
Psychology Minor ,
Sociology Minor ,
Theatre Minor ,
Type Design Minor ,
Writing Minor ,
