    APLN 599/5299  ,  Research Guidance and Thesis (no cr.),
    APLN 510/5300  ,  Methods of TESOL I (3 cr.),
    APLN 501/5301  ,  Principles of Linguistic Analysis (3 cr.),
    APLN 520/5302  ,  Research Methods in Applied Linguistics (3 cr.),
    APLN 500/5303  ,  English Grammar (3 cr.),
    APLN 503/5304  ,  Second Language Acquisition (3 cr.),
    APLN 502/5305  ,  Assessment in Language Learning (3 cr.),
    APLN 507/5310  ,  Computer Assisted Language Learning (CALL) (3 cr.),
    APLN 570/5311  ,  Thesis Proposal Writing (3 cr.),
    APLN 531/5312  ,  Second Language Reading and Writing: Theory and Practice (3 cr.),
    APLN 000/5313  ,  Second Language Listening and Speaking: Theory and Practice (3 cr.),
    APLN 521/5320  ,  English Syntax (3 cr.),
    APLN 548/5321  ,  Corpus Linguistics (3 cr.),
    APLN 550/5322  ,  Language Pragmatics (3 cr.),
    APLN 551/5323  ,  Discourse of Analysis for Language Teachers (3 cr.),
    APLN 525/5330  ,"  Language Transfer, Contrastive Analysis, and Error Analysis (3 cr.)",
    APLN 553/5331  ,  Sociolinguistics (3 cr.),
    APLN 000/5332  ,  Intercultural Communication (3 cr.),
    APLN 540/5370  ,"  Selected Topics in Applied Linguistics (1, 2, or 3 cr.)",
    APLN 530/5371  ,  Supervised Study in TESOL (3 cr.),
    APLN 511/5397  ,  Methods of TESOL II (3 cr.),
    APLN 588/5398  ,  Comprehensives (no cr.),
    APLN 599/5399  ,  Research Guidance and Thesis (no cr.),
    LING 000/3340  ,  Language Assessment (3 cr.),
    ARIC 199/1099  ,  Selected Topics for Core Curriculum (3cr.),
    ARIC 101/1101  ,  Children’s Literature and Cultural Representations (3 cr.),
    ARIC 000/1102  ,  Passionate Love in Arabic and World Literatures (3 cr.),
    ARIC 100/1300  ,  Arabs and Muslims Encountering the Other (3 cr.),
    ARIC 299/2096  ,  Selected Topics for the Core Curriculum in International/World Studies (3 cr.),
    ARIC 299/2097  ,  Selected Topics for the Core Curriculum in Arab World Studies (3 cr.),
    ARIC 299/2099  ,  Selected Topics for the Core Curriculum in Humanities (3 cr.),
    ARIC 201/2101  ,  Introduction to Classical Arabic Literature (3 cr.),
    ARIC 202/2102  ,  Introduction to Modern Arabic Literature (3 cr.),
    ARIC 203/2103  ,  Classical Arabic Literature in Translation (3 cr.),
    ARIC 204/2104  ,  Modern Arabic Literature in Translation (3 cr.),
    ARIC 205/2205  ,"  The World of Islamic Architecture, from the Beginnings to the Present Day (3 cr.)",
    ARIC 206/2206  ,  The City of Cairo (3 cr.),
    ARIC 270,271/2270-2271  -  From Andalusia to Indonesia: Introduction to Islamic Art and Architecture (3 cr. per semester),
    ARIC 246/2346  ,  Survey of Arab History (3 cr.),
    ARIC 320/3020  ,  Introduction to Sufism (3 cr.),
    ARIC 309/3097  ,  Selected Themes and Topics in Arabic Literature (3 cr.),
    ARIC 000/3098  ,  Selected Topics in Islamic Studies (3 cr.),
    ARIC 305/3104  ,  Arabic Literature and Gender (3 cr.),
    ARIC 306/3106  ,  Arabic Literature and Film (3 cr.),
    ARIC 307/3107  ,  The Writer and the State (3 cr.),
    ARIC 308/3108  ,  Colloquial and Folk Literature (3 cr.),
    ARIC 314/3114  ,  The Arabic Novel (3 cr.),
    ARIC 315/3115  ,  Arabic Drama (3 cr.),
    ARIC 316/3116  ,  The Arabic Short Story (3 cr.),
    ARIC 310/3197  ,  Selected Themes and Topics in Arabic Literature in Translation (3 cr.),
    ARIC 368/3268  ,  The Art of the Book in the Islamic World (3 cr.),
    ARIC 369/3269  ,  The Arts of Fire: Ceramics and Glass of the Islamic World (3 cr.),
    ARIC 370/3270  ,  The Age of Transition: Early Islamic Art and the Pre-Islamic Past (3 cr.),
    ARIC 371,372/3271-3272  -  Islamic Architecture in Egypt and Syria (3 cr. per semester),
    ARIC 000/3273  ,  Islamic Architecture in Egypt and Syria from the Ottomans to the present (3 cr.),
    ARIC 319/3319  ,  Islamic Spain and North Africa (711-1492 A.D.) (3 cr.),
    ARIC 321/3321  ,"  Zawiyas, Harems, Coffee shops, Everyday Life in the Pre-Modern Mideast (3 cr.)",
    ARIC 322/3322  ,"  Land, Trade and Power: a History of Economic Relations in the Middle East, 600-1800 A.D. (3 cr.)",
    ARIC 323/3323  ,  Marriage and the Family in the Medieval and Early Modern Middle East (3 cr.),
    ARIC 324/3324  ,  Non-Muslim Communities in the Muslim World (3 cr.),
    ARIC 325/3325  ,"  Beggars, Madmen, Prostitutes: the Marginalized in Pre-Modern Mideast History. (3 cr.)",
    ARIC 336/3336  ,  Studies in Ibn Khaldun (3 cr.),
    ARIC 337/3337  ,  Shi’i Muslims in History (3 cr.),
    ARIC 343/3343  ,  Birth of Muslim Community and Rise of the Arab Caliphates (3 cr.),
    ARIC 344/3344  ,  Caliphs and Sultans in the Age of Crusades and Mongols (3 cr.),
    ARIC 345/3345  ,"  Gunpowder Empires: Ottomans, Safavids and Mughols (3 cr.)",
    ARIC 353/3353  ,  Muslim Political Thought (3 cr.),
    ARIC 355/3355  ,"  State and Society in the Middle East, 1699-1914 (3 cr.)",
    ARIC 356/3356  ,"  State and Society in the Middle East, 1906-present (3 cr.)",
    ARIC 357/3397  ,  Selected topic in Middle East History (3 cr.),
    ARIC 354/3405  ,  Islamic Philosophy (3cr.),
    ARIC 335/3435  ,  Introduction to the Study of Islam (3 cr.),
    ARIC 400/5100  ,  Independent Study (1-3 cr.),
    ARIC 463/5101  ,  Selected Topics in the History of Islamic Thought and Institutions (3cr.),
    ARIC 000/5102  ,  Cairo in the Cultural Imaginary (3 cr.),
    ARIC 000/5103  ,  Source - Criticism and Classical Arabic Literature (3 cr.),
    ARIC 401/5110  ,  Senior Seminar in Arabic Texts (3 cr.),
    ARIC 402/5111  ,  Senior Seminar in Arabic Literature in Translation (3 cr.),
    ARIC 403/5112  ,  Arabic Literary Criticism (3 cr.),
    ARIC 404/5113  ,  Sira and Hadith (3 cr.),
    ARIC 417/5114  ,  Special Studies in Arabic Texts (3 cr.),
    ARIC 464/5121  ,  Islamic Art and Architecture in India and Pakistan (3 cr.),
    ARIC 465,"466/5122-5123  -  Islamic Architecture in Turkey, Persia and Central Asia (3 cr.)",
    ARIC 467/5124  ,  Islamic Architecture in Spain and North Africa (3 cr.),
    ARIC 477,478/5125-5126  -  Islamic Decorative Arts (3 cr. per semester),
    ARIC 000/5127  ,  Selected Topics in Islamic Art and Architecture (3 cr.),
    ARIC 000/5130  ,  Poetry for Historians (3 cr.),
    ARIC 440/5131  ,  Arabic Historical Literature (3 cr.),
    ARIC 445/5132  ,  Selected Topics in Coptic Studies (3 cr.),
    ARIC 451/5133  ,  Islamic Institutions (3 cr.),
    ARIC 454/5134  ,  Modern Movements in Islam (3 cr.),
    ARIC 460/5135  ,"  Selected Topics in Middle Eastern History, 600-1800 AD (3 cr.)",
    ARIC 462/5136  ,  Selected Topics in the History of the Modern Middle East (3 cr.),
    ARIC 000/5137  ,  International Trade 1000 - 1700: Egypt and the Mediterranean - Red Sea Trade (3 cr.),
    ARIC 435/5141  ,  Studies in the Qur’an (3 cr.),
    ARIC 439/5142  ,  Islamic Law (3 cr.),
    ARIC 580/5200  ,  Independent Study and Readings (3 cr.),
    ARIC 514/5201  ,  Bibliography and Manuscript Study (3 cr.),
    ARIC 521,522/5202-5203  -  Special Studies in Islamic Thought and Institutions (3 cr.),
    ARIC 504/5210  ,  Seminar on a Selected Work or Author in Classical Arabic Literature (3 cr.),
    ARIC 507/5211  ,  Seminar on Modern Arabic Literature: Nineteenth Century (3 cr.),
    ARIC 508/5212  ,  Seminar on Modern Arabic Literature: Twentieth Century (3 cr.),
    ARIC 510,511/5213-5214  -  Special Studies in Classical Arabic Literature (3 cr.),
    ARIC 512,513/5215-5216  -  Special Studies in Modern Arabic Literature (3 cr.),
    ARIC 501/5217  ,  Translation: Theory and Practice (3 cr.),
    ARIC 502/5218  ,  Translation and The Arab “Renaissance” (3 cr.),
    ARIC 572/5220  ,  Fieldwork in Islamic Architecture (3 cr.),
    ARIC 573/5221  ,  Seminar on the Architecture of a Selected Period (3 cr.),
    ARIC 575,576/5222-5223  -  Special Studies in Islamic Art and Architecture (3 cr.),
    ARIC 530/5230  ,"  Seminar on a Selected Topic in Medieval Arab/Islamic History, 600-1800 A.D. (3 cr.)",
    ARIC 542/5231  ,  Seminar on the Nineteenth-Century Middle East (3 cr.),
    ARIC 543/5232  ,  Seminar on the Twentieth-Century Middle East (3 cr.),
    ARIC 560 , 561/5233-5234  -  Special Studies in Middle Eastern History (3 cr.),
    ARIC 524/5240  ,  Seminar on Selected Topics in Qur’anic Studies (3 cr.),
    ARIC 525/5241  ,  Seminar on Selected Topics in Sira or Hadith (3 cr.),
    ARIC 526/5242  ,  Seminar on Selected Topics in Islamic Law and Legal Theory (3 cr.),
    ARIC 527/5243  ,"  Selected Topics in Islamic Theology, Sufism or Philosophy (3 cr.)",
    ARIC 528/5244  ,  Selected Topics in Islamic Studies (3 cr.),
    ARIC 529/5245  ,  World Religions and the Study of Religion (3 cr.),
    ARIC 599/5299  ,  Research Guidance and Thesis (no cr.),
    LING 000/3310  ,  Linguistic Fieldwork (3 cr.),
    ALNG 000/1010  ,  Eye on Press (3 cr.),
    ALNG 000/1020  ,  Arabic in Context (3 cr. per semester),
    ALNG 101,102 -103/1101-1102-1103  -  Elementary Modern Standard Arabic (3 cr. each per semester),
    ALNG 109,110/1301-1302  -  Elementary Egyptian Colloquial Arabic (3 cr. each per semester),
    ALNG 111/1501  ,  Accelerated Elementary Modern Standard Arabic (6 cr. per semester),
    ALNG 112/1502  ,  Accelerated High Elementary and Lower Iintermediate Modern Standard Arabic (6 cr.each per semester),
    ALNG 199/1991  ,  Selected Topics (3 cr. per semester),
    ALNG 000/2010  ,  Current Issues and Egyptian Society (3 cr. per semester),
    ALNG 201,202-203/2101-2102-2103  -  Intermediate Arabic (3 cr. each per semester),
    ALNG 204,205/2104-2105  -  Intermediate Modern Standard Arabic (3 cr. each per semester),
    ALNG 206/2131  ,  Arabic of the News Media (3 cr. per semester),
    ALNG 210/2301  ,  Intermediate Egyptian Colloquial Arabic (ECA) (3 cr. per semester),
    ALNG 211,212/2501-2502  -  Accelerated Intermediate Modern Standard Arabic (6 cr. each per semester),
    ALNG 299/2991  ,  Selected Topics (3 cr. per semester),
    ALNG 301,302/3101-3102  -  Advanced Modern Standard Arabic I (3 cr. each per semester),
    ALNG 303,304/3103-3104  -  Advanced Modern Standard Arabic II (3 cr. each per semester),
    ALNG 305/3105  ,  Independent Study (3 cr. per semester),
    ALNG 306/3131  ,  Advanced Arabic of the News Media (3 cr. per semester),
    ALNG 000/3327  ,  Egyptian culture on Film (3 cr.),
    ALNG 311,312/3501-3502  -  Accelerated Advanced Modern Standard Arabic (6 cr. each per semester),
    ALNG 000/3912  ,  Learning Arabic through Community Engagement (3 cr.),
    ALNG 399/3991  ,  Selected Topics (3 cr. per semester),
    ALNG 000/3993  ,  Introduction to Arabic for Career Purposes 3 cr.,
    ALNG 415/4221  ,  Arabic Morphology (Sarf) and Prosody (‘Arud) (3 cr.),
    ALNG 413,414/4231-4232  -  Arabic Syntax (Nahw) (3 cr. per semester),
    ALNG 425/4281  ,  Linguistics of Arabic (3 cr.),
    ALNG 426/4291  ,  The Phonetics of Arabic (3 cr.),
    ALWT 000/3919  ,  Arabic through Translation: A course in Bilingual Awareness (3 cr.),
    ALIN 101,102-103-104/1101-1102-1103-1104  -  Elementary Modern Standard Arabic (3 cr. each),
    ALIN 105,106/1151-1152  -  Elementary Listening and Speaking (2-3 cr. each),
    ALIN 205,206/1231-1232  -  Intermediate Grammar (2-3 cr. each),
    ALIN 201,202-203-204/2101-2102-2103-2104  -  Intermediate Modern Standard Arabic (3 cr. each),
    ALIN 207,208/2141-2142  -  Intermediate Spoken Modern Standard Arabic (MSA) (2-3 cr. each),
    ALIN 209,210/2151-2152  -  Intermediate Listening and Speaking (2-3 cr. each),
    ALIN 261/2221  ,  Applied Morphology (2-3 cr. each),
    ALIN 281,282/2241-2242  -  Political Texts (2-3 cr. each),
    ALIN 301,302/3101-3102  -  Advanced Modern Standard Arabic (3 cr. each),
    ALIN 307,308/3141-3142  -  Advanced Spoken Modern Standard Arabic (MSA) (2-3 cr. each),
    ALIN 309,310/3151-3152  -  Advanced Listening and Speaking (2-3 cr. each),
    ALIN 305,306/3231-3232  -  Advanced Arabic Grammar (2-3 cr. each),
    ALIN 381,382/3241-3242  -  Political Texts (3 cr. each),
Arabic Language Intensive , Colloquial Arabic,
    ALIN 111,112-113/1301-1302-1303  -  Elementary Colloquial Arabic (3-4 cr. each),
    ALIN 211,212/2301-2302  -  Intermediate Colloquial Arabic (3-4 cr. each),
    ALIN 311,312/3301-3302  -  Advanced Colloquial Arabic (3-4 cr. each),
Arabic Language Intensive , Egyptian Culture,
