majorTitle,catalogYear,courseCode,prefix,semesterNumber
Computer Engineering (B.S),2018-2019,1001,CSCE,1
Computer Engineering (B.S),2018-2019,1001,ENGR,1
Computer Engineering (B.S),2018-2019,1005,ENGR,1
Computer Engineering (B.S),2018-2019,1011,PHYS,1
Computer Engineering (B.S),2018-2019,1012,PHYS,1
Computer Engineering (B.S),2018-2019,1010,RHET,1
Computer Engineering (B.S),2018-2019,1010,CORE,1
Computer Engineering (B.S),2018-2019,1101,CSCE,2
Computer Engineering (B.S),2018-2019,1102,CSCE,2
Computer Engineering (B.S),2018-2019,1005,CHEM,2
Computer Engineering (B.S),2018-2019,1015,CHEM,2
Computer Engineering (B.S),2018-2019,1021,PHYS,2
Computer Engineering (B.S),2018-2019,1022,PHYS,2
Computer Engineering (B.S),2018-2019,1122,MACT,2
Computer Engineering (B.S),2018-2019,1020,RHET,2
Computer Engineering (B.S),2018-2019,1020,LALT,2
Computer Engineering (B.S),2018-2019,2301,CSCE,3
Computer Engineering (B.S),2018-2019,2302,CSCE,3
Computer Engineering (B.S),2018-2019,2102,ENGR,3
Computer Engineering (B.S),2018-2019,2211,PHYS,3
Computer Engineering (B.S),2018-2019,2213,PHYS,3
Computer Engineering (B.S),2018-2019,2131,MACT,3
Computer Engineering (B.S),2018-2019,1020,SCI,3
Computer Engineering (B.S),2018-2019,2303,CSCE,4
Computer Engineering (B.S),2018-2019,2202,CSCE,4
Computer Engineering (B.S),2018-2019,2203,CSCE,4
Computer Engineering (B.S),2018-2019,3303,CSCE,4
Computer Engineering (B.S),2018-2019,2100,PHIL,4
Computer Engineering (B.S),2018-2019,-2,XXXX,4
Computer Engineering (B.S),2018-2019,2501,CSCE,5
Computer Engineering (B.S),2018-2019,3301,CSCE,5
Computer Engineering (B.S),2018-2019,3701,CSCE,5
Computer Engineering (B.S),2018-2019,3302,CSCE,5
Computer Engineering (B.S),2018-2019,2123,MACT,5
Computer Engineering (B.S),2018-2019,-3,XXXX,5
Computer Engineering (B.S),2018-2019,3304,CSCE,6
Computer Engineering (B.S),2018-2019,3611,CSCE,6
Computer Engineering (B.S),2018-2019,3401,CSCE,6
Computer Engineering (B.S),2018-2019,3402,CSCE,6
Computer Engineering (B.S),2018-2019,2141,MACT,6
Computer Engineering (B.S),2018-2019,2104,ENGR,6
Computer Engineering (B.S),2018-2019,-4,XXXX,6
Computer Engineering (B.S),2018-2019,4411,CSCE,7
Computer Engineering (B.S),2018-2019,3312,CSCE,7
Computer Engineering (B.S),2018-2019,3313,CSCE,7
Computer Engineering (B.S),2018-2019,2132,MACT,7
Computer Engineering (B.S),2018-2019,3224,MACT,7
Computer Engineering (B.S),2018-2019,-7,XXXX,7
Computer Engineering (B.S),2018-2019,4301,CSCE,8
Computer Engineering (B.S),2018-2019,4302,CSCE,8
Computer Engineering (B.S),2018-2019,-10,XXXX,8
Computer Engineering (B.S),2018-2019,-10,XXXX,8
Computer Engineering (B.S),2018-2019,3202,ENGR,8
Computer Engineering (B.S),2018-2019,-8,XXXX,8
Computer Engineering (B.S),2018-2019,4950,CSCE,9
Computer Engineering (B.S),2018-2019,4980,CSCE,9
Computer Engineering (B.S),2018-2019,-10,XXXX,9
Computer Engineering (B.S),2018-2019,-10,XXXX,9
Computer Engineering (B.S),2018-2019,3222,ENGR,9
Computer Engineering (B.S),2018-2019,3322,ENGR,9
Computer Engineering (B.S),2018-2019,4981,CSCE,10
Computer Engineering (B.S),2018-2019,-10,XXXX,10
Computer Engineering (B.S),2018-2019,3201,MGMT,10
Computer Engineering (B.S),2018-2019,-6,XXXX,10
Computer Engineering (B.S),2018-2019,-9,XXXX,10
