majorTitle,catalogYear,courseCode,prefix,semesterNumber
Computer Science (B.S),2020-2021,1001,CSCE,1 
Computer Science (B.S),2020-2021,1121,MACT,1
Computer Science (B.S),2020-2021,1011,PHYS,1
Computer Science (B.S),2020-2021,1012,PHYS,1
Computer Science (B.S),2020-2021,1122,MACT,1
Computer Science (B.S),2020-2021,1010,RHET,1
Computer Science (B.S),2020-2021,1010,CORE,1
Computer Science (B.S),2020-2021,2301,CSCE,3
Computer Science (B.S),2020-2021,2302,CSCE,3
Computer Science (B.S),2020-2021,2211,PHYS,3
Computer Science (B.S),2020-2021,2213,PHYS,3
Computer Science (B.S),2020-2021,2131,MACT,3
Computer Science (B.S),2020-2021,-2,XXXX,3
Computer Science (B.S),2020-2021,2100,PHIL,3
Computer Science (B.S),2020-2021,3104,CSCE,5
Computer Science (B.S),2020-2021,3301,CSCE,5
Computer Science (B.S),2020-2021,3302,CSCE,5
Computer Science (B.S),2020-2021,-10,XXXX,5
Computer Science (B.S),2020-2021,3223,MACT,5
Computer Science (B.S),2020-2021,-7,XXXX,5
Computer Science (B.S),2020-2021,4201,CSCE,7
Computer Science (B.S),2020-2021,4950,CSCE,7
Computer Science (B.S),2020-2021,4980,CSCE,7
Computer Science (B.S),2020-2021,-10,XXXX,7
Computer Science (B.S),2020-2021,-10,XXXX,7
Computer Science (B.S),2020-2021,-9,XXXX,7
Computer Science (B.S),2020-2021,-9,XXXX,7
Computer Science (B.S),2020-2021,1101,CSCE,2
Computer Science (B.S),2020-2021,1102,CSCE,2
Computer Science (B.S),2020-2021,1021,PHYS,2
Computer Science (B.S),2020-2021,1022,PHYS,2
Computer Science (B.S),2020-2021,2123,MACT,2
Computer Science (B.S),2020-2021,1020,RHET,2
Computer Science (B.S),2020-2021,1020,SCI,2
Computer Science (B.S),2020-2021,1020,LALT,2
Computer Science (B.S),2020-2021,2202,CSCE,4
Computer Science (B.S),2020-2021,2203,CSCE,4
Computer Science (B.S),2020-2021,2303,CSCE,4
Computer Science (B.S),2020-2021,2132,MACT,4
Computer Science (B.S),2020-2021,3211,MACT,4
Computer Science (B.S),2020-2021,-3,XXXX,4
Computer Science (B.S),2020-2021,3701,CSCE,6
Computer Science (B.S),2020-2021,3401,CSCE,6
Computer Science (B.S),2020-2021,3402,CSCE,6
Computer Science (B.S),2020-2021,-10,XXXX,6
Computer Science (B.S),2020-2021,-10,XXXX,6
Computer Science (B.S),2020-2021,-8,XXXX,6
Computer Science (B.S),2020-2021,-4,XXXX,6
Computer Science (B.S),2020-2021,4101,CSCE,8
Computer Science (B.S),2020-2021,4981,CSCE,8
Computer Science (B.S),2020-2021,-10,XXXX,8
Computer Science (B.S),2020-2021,-6,XXXX,8
Computer Science (B.S),2020-2021,-9,XXXX,8
