majorTitle,catalogYear,courseCode,prefix,semesterNumber
Computer Science (B.S),2018-2019,1001,CSCE,1
Computer Science (B.S),2018-2019,1011,PHYS,1
Computer Science (B.S),2018-2019,1012,PHYS,1
Computer Science (B.S),2018-2019,1122,MACT,1
Computer Science (B.S),2018-2019,1010,RHET,1
Computer Science (B.S),2018-2019,1010,CORE,1
Computer Science (B.S),2018-2019,2301,CSCE,3
Computer Science (B.S),2018-2019,2302,CSCE,3
Computer Science (B.S),2018-2019,2211,PHYS,3
Computer Science (B.S),2018-2019,2213,PHYS,3
Computer Science (B.S),2018-2019,2131,MACT,3
Computer Science (B.S),2018-2019,-2,XXXX,3
Computer Science (B.S),2018-2019,2100,PHIL,3
Computer Science (B.S),2018-2019,3104,CSCE,5
Computer Science (B.S),2018-2019,3301,CSCE,5
Computer Science (B.S),2018-2019,3302,CSCE,5
Computer Science (B.S),2018-2019,-10,XXXX,5
Computer Science (B.S),2018-2019,3224,MACT,5
Computer Science (B.S),2018-2019,-7,XXXX,5
Computer Science (B.S),2018-2019,4201,CSCE,7
Computer Science (B.S),2018-2019,4950,CSCE,7
Computer Science (B.S),2018-2019,4980,CSCE,7
Computer Science (B.S),2018-2019,-10,XXXX,7
Computer Science (B.S),2018-2019,-10,XXXX,7
Computer Science (B.S),2018-2019,-9,XXXX,7
Computer Science (B.S),2018-2019,-9,XXXX,7
Computer Science (B.S),2018-2019,1101,CSCE,2
Computer Science (B.S),2018-2019,1102,CSCE,2
Computer Science (B.S),2018-2019,1021,PHYS,2
Computer Science (B.S),2018-2019,1022,PHYS,2
Computer Science (B.S),2018-2019,2123,MACT,2
Computer Science (B.S),2018-2019,1020,RHET,2
Computer Science (B.S),2018-2019,1020,SCI,2
Computer Science (B.S),2018-2019,1020,LALT,2
Computer Science (B.S),2018-2019,2202,CSCE,4
Computer Science (B.S),2018-2019,2203,CSCE,4
Computer Science (B.S),2018-2019,2303,CSCE,4
Computer Science (B.S),2018-2019,2132,MACT,4
Computer Science (B.S),2018-2019,-10,XXXX,4
Computer Science (B.S),2018-2019,-3,XXXX,4
Computer Science (B.S),2018-2019,3701,CSCE,6
Computer Science (B.S),2018-2019,3401,CSCE,6
Computer Science (B.S),2018-2019,3402,CSCE,6
Computer Science (B.S),2018-2019,-10,XXXX,6
Computer Science (B.S),2018-2019,-11,MACT,6
Computer Science (B.S),2018-2019,-8,XXXX,6
Computer Science (B.S),2018-2019,-4,XXXX,6
Computer Science (B.S),2018-2019,4101,CSCE,8
Computer Science (B.S),2018-2019,4981,CSCE,8
Computer Science (B.S),2018-2019,-10,XXXX,8
Computer Science (B.S),2018-2019,-6,XXXX,8
Computer Science (B.S),2018-2019,-9,XXXX,8
