majorTitle,catalogYear,courseCode,prefix,semesterNumber
Computer Science (B.S),2017-2018,1001,CSCE,1
Computer Science (B.S),2017-2018,1121,MACT,1
Computer Science (B.S),2017-2018,1011,PHYS,1
Computer Science (B.S),2017-2018,1012,PHYS,1
Computer Science (B.S),2017-2018,1122,MACT,1
Computer Science (B.S),2017-2018,1010,RHET,1
Computer Science (B.S),2017-2018,1010,CORE,1
Computer Science (B.S),2017-2018,1101,CSCE,2
Computer Science (B.S),2017-2018,1021,PHYS,2
Computer Science (B.S),2017-2018,1022,PHYS,2
Computer Science (B.S),2017-2018,2123,MACT,2
Computer Science (B.S),2017-2018,1020,RHET,2
Computer Science (B.S),2017-2018,1020,SCI,2
Computer Science (B.S),2017-2018,1020,LALT,2
Computer Science (B.S),2017-2018,2201,CSCE,3
Computer Science (B.S),2017-2018,2211,PHYS,3
Computer Science (B.S),2017-2018,2213,PHYS,3
Computer Science (B.S),2017-2018,-2,XXXX,3
Computer Science (B.S),2017-2018,2100,PHIL,3
Computer Science (B.S),2017-2018,-11,MACT,3
Computer Science (B.S),2017-2018,2301,CSCE,4
Computer Science (B.S),2017-2018,2302,CSCE,4
Computer Science (B.S),2017-2018,2131,MACT,4
Computer Science (B.S),2017-2018,-10,XXXX,4
Computer Science (B.S),2017-2018,-3,XXXX,4
Computer Science (B.S),2017-2018,2303,CSCE,4
Computer Science (B.S),2017-2018,2202,CSCE,5
Computer Science (B.S),2017-2018,3104,CSCE,5
Computer Science (B.S),2017-2018,3301,CSCE,5
Computer Science (B.S),2017-2018,-10,XXXX,5
Computer Science (B.S),2017-2018,3224,MACT,5
Computer Science (B.S),2017-2018,-7,XXXX,5
Computer Science (B.S),2017-2018,2132,MACT,6
Computer Science (B.S),2017-2018,3701,CSCE,6
Computer Science (B.S),2017-2018,3401,CSCE,6
Computer Science (B.S),2017-2018,3402,CSCE,6
Computer Science (B.S),2017-2018,-10,XXXX,6
Computer Science (B.S),2017-2018,-8,XXXX,6
Computer Science (B.S),2017-2018,-4,XXXX,6
Computer Science (B.S),2017-2018,4201,CSCE,7
Computer Science (B.S),2017-2018,4950,CSCE,7
Computer Science (B.S),2017-2018,4980,CSCE,7
Computer Science (B.S),2017-2018,-10,XXXX,7
Computer Science (B.S),2017-2018,-10,XXXX,7
Computer Science (B.S),2017-2018,-9,XXXX,7
Computer Science (B.S),2017-2018,-9,XXXX,7
Computer Science (B.S),2017-2018,4101,CSCE,8
Computer Science (B.S),2017-2018,4981,CSCE,8
Computer Science (B.S),2017-2018,-10,XXXX,8
Computer Science (B.S),2017-2018,-6,XXXX,8
Computer Science (B.S),2017-2018,-9,XXXX,8
