majorTitle,catalogYear,courseCode,prefix,semesterNumber
Computer Engineering (B.S),2017-2018,1001,CSCE,1
Computer Engineering (B.S),2017-2018,1121,MACT,1
Computer Engineering (B.S),2017-2018,1001,ENGR,1
Computer Engineering (B.S),2017-2018,1005,ENGR,1
Computer Engineering (B.S),2017-2018,1011,PHYS,1
Computer Engineering (B.S),2017-2018,1012,PHYS,1
Computer Engineering (B.S),2017-2018,1010,RHET,1
Computer Engineering (B.S),2017-2018,1010,CORE,1
Computer Engineering (B.S),2017-2018,1101,CSCE,2
Computer Engineering (B.S),2017-2018,1005,CHEM,2
Computer Engineering (B.S),2017-2018,1015,CHEM,2
Computer Engineering (B.S),2017-2018,1021,PHYS,2
Computer Engineering (B.S),2017-2018,1022,PHYS,2
Computer Engineering (B.S),2017-2018,1122,MACT,2
Computer Engineering (B.S),2017-2018,1020,RHET,2
Computer Engineering (B.S),2017-2018,1020,LALT,2
Computer Engineering (B.S),2017-2018,2201,CSCE,3
Computer Engineering (B.S),2017-2018,2301,CSCE,4
Computer Engineering (B.S),2017-2018,2102,ENGR,3
Computer Engineering (B.S),2017-2018,2211,PHYS,3
Computer Engineering (B.S),2017-2018,2213,PHYS,3
Computer Engineering (B.S),2017-2018,2131,MACT,3
Computer Engineering (B.S),2017-2018,1020,SCI,3
Computer Engineering (B.S),2017-2018,2303,CSCE,4
Computer Engineering (B.S),2017-2018,2202,CSCE,4
Computer Engineering (B.S),2017-2018,3303,CSCE,4
Computer Engineering (B.S),2017-2018,2100,PHIL,4
Computer Engineering (B.S),2017-2018,-2,XXXX,4
Computer Engineering (B.S),2017-2018,2501,CSCE,5
Computer Engineering (B.S),2017-2018,3301,CSCE,5
Computer Engineering (B.S),2017-2018,3701,CSCE,5
Computer Engineering (B.S),2017-2018,3302,CSCE,5
Computer Engineering (B.S),2017-2018,2123,MACT,5
Computer Engineering (B.S),2017-2018,-3,XXXX,5
Computer Engineering (B.S),2017-2018,3304,CSCE,6
Computer Engineering (B.S),2017-2018,3611,CSCE,6
Computer Engineering (B.S),2017-2018,3401,CSCE,6
Computer Engineering (B.S),2017-2018,2141,MACT,6
Computer Engineering (B.S),2017-2018,2104,ENGR,6
Computer Engineering (B.S),2017-2018,-4,XXXX,6
Computer Engineering (B.S),2017-2018,4411,CSCE,7
Computer Engineering (B.S),2017-2018,3312,CSCE,7
Computer Engineering (B.S),2017-2018,3313,CSCE,7
Computer Engineering (B.S),2017-2018,3202,ENGR,7
Computer Engineering (B.S),2017-2018,3224,MACT,7
Computer Engineering (B.S),2017-2018,-7,XXXX,7
Computer Engineering (B.S),2017-2018,4301,CSCE,8
Computer Engineering (B.S),2017-2018,4302,CSCE,8
Computer Engineering (B.S),2017-2018,-10,XXXX,8
Computer Engineering (B.S),2017-2018,-10,XXXX,8
Computer Engineering (B.S),2017-2018,2132,MACT,8
Computer Engineering (B.S),2017-2018,-8,XXXX,8
Computer Engineering (B.S),2017-2018,4950,CSCE,9
Computer Engineering (B.S),2017-2018,4980,CSCE,9
Computer Engineering (B.S),2017-2018,-10,XXXX,9
Computer Engineering (B.S),2017-2018,-10,XXXX,9
Computer Engineering (B.S),2017-2018,3222,ENGR,9
Computer Engineering (B.S),2017-2018,3322,ENGR,9
Computer Engineering (B.S),2017-2018,4981,CSCE,10
Computer Engineering (B.S),2017-2018,-10,XXXX,10
Computer Engineering (B.S),2017-2018,3201,MGMT,10
Computer Engineering (B.S),2017-2018,-6,XXXX,10
Computer Engineering (B.S),2017-2018,-9,XXXX,10
