courseCode,courseTitle,prefix,credits
5203,Advanced Organic Chemistry,CHEM,3
5204,Methods of Structure Determination,CHEM,3
5205,Nanochemistry,CHEM,3
5206,Advanced Food Chemistry,CHEM,3
5211,Applied Food Microbiology,CHEM,3
5212,Food Safety Assurance,CHEM,3
5213,Food Packaging,CHEM,3
5214,Nutritional Evaluation of Food during Processing,CHEM,3
5215,"Food Additives, Contaminants and Legislation",CHEM,3
5216,Food Fermentation,CHEM,3
5217,Sensory Evaluation of Food Products,CHEM,3
5218,Functional Foods and Nutraceuticals,CHEM,3
5219,Food Analysis,CHEM,3
5220,Life Cycle Nutrition,CHEM,3
5221,Nutrition & Diseases,CHEM,3
5222,Clinical Nutrition,CHEM,3
5241,The Chemistry of Nanostructures,CHEM,3
5242,Nanoelectrochemistry,CHEM,3
5910,Independent Study in Chemistry,CHEM,3
5930,Selected Topics in Chemistry,CHEM,3
5980,Research Guidance and Thesis,CHEM,6
6103,Bioseparation Processes for Food and Pharmaceutical Industries,CHEM,3
6105,Principles and Applications of Mass Spectrometry,CHEM,3
6107,Chemistry of Natural and Synthetic Polymers,CHEM,3
6240,Nanoporous Materials,CHEM,3
6910,Independent Study in Chemistry,CHEM,3
6930,Advanced Selected Topics in Chemistry,CHEM,3
6980,Research Guidance Dissertation,CHEM,3
1005,Science and Technology of Ancient Egypt,SCI,3
1009,Exploration of the Universe,SCI,3
1015,General Science Laboratory,SCI,1
1020,Scientific Thinking,SCI,3
1930,Selected Topic for Core Curriculum,SCI,3
2004,"Chemistry, Art and Archaeology",SCI,3
2005,Introduction to Geology,SCI,3
2006,Environmental Geology,SCI,3
2015,Introduction to Geology Lab,SCI,1
3002,"Science, Technology and the Environment",SCI,3
4005,Geology of Raw Materials,SCI,3
5940,Graduate Thesis Seminar,SCI,3
2096,Selected Topics for the Core Curriculum in Global Studies,CREL,3
2097,Selected Topics for the Core Curriculum in Arab World Studies,CREL,3
2099,Selected Topics for Core Curriculum,CREL,3
2601,Dimensions of the Sacred: Exploring Religious Experience,CREL,3
2603,Religions of the World,CREL,3
2605,The Quest for the Historical Jesus,CREL,3
2606,Hinduism and Buddhism in India,CREL,3
2607,Pilgrimage Traditions in the World's Religions,CREL,3
3209,Zionism and Modern Judaism,CREL,3
3608,"Masters, Saints, and Saviors: Sacred Biography in the World's Religions",CREL,3
5609,World Religions and the Study of Religion,CREL,3
1000,Introduction to Computers and their Applications,CSCE,3
1001,Fundamentals of Computing I,CSCE,3
1101,Fundamentals of Computing II,CSCE,3
1102,Fundamentals of Computing II Lab,CSCE,1
2202,Analysis and Design of Algorithms,CSCE,3
2203,Analysis and Design of Algorithms Lab,CSCE,1
2301,Digital Design I,CSCE,3
2302,Digital Design I Lab,CSCE,1
2303,Computer Organization and Assembly Language Programming,CSCE,3
2501,Fundamentals of Database Systems,CSCE,3
2502,Information Technology,CSCE,3
3101,Programming Language,CSCE,NULL
3102,Programming in Java,CSCE,3
3103,Object Oriented Programming,CSCE,3
3104,Concepts of Programming Languages,CSCE,3
3301,Computer Architecture,CSCE,3
3302,Computer Architecture Lab,CSCE,1
3303,Fundamental Microelectronics,CSCE,3
3304,Digital Design II,CSCE,3
3311,Data and Computer Communications,CSCE,3
3312,Computer Networks,CSCE,3
3313,Computer Networks Lab,CSCE,1
3401,Operating Systems,CSCE,3
3402,Operating Systems Lab,CSCE,1
3421,Fundamentals of Computing and Communication Systems,CSCE,3
3422,Introduction to Information Security,CSCE,3
3601,Fundamentals of Artificial Intelligence,CSCE,3
3611,Digital Signal Processing,CSCE,3
3701,Software Engineering,CSCE,3
4101,Compiler Design,CSCE,3
4201,Theory of Computing,CSCE,3
4301,Embedded Systems,CSCE,3
4302,Embedded Systems Lab,CSCE,1
4313,Local and Metropolitan Area Networks,CSCE,3
4314,Local Area Networks Lab,CSCE,1
4411,Fundamentals of Distributed Systems,CSCE,3
4421,Computer Security,CSCE,3
4501,Database Systems,CSCE,3
4502,Design of Web-based Systems,CSCE,3
4503,Internet-based Information Systems,CSCE,3
4602,Introduction to Artificial Neural Networks,CSCE,3
4603,Fundamentals of Computer Vision,CSCE,3
4604,Practical Machine Deep Learning,CSCE,3
4621,Computer Graphics,CSCE,3
4701,Object-Oriented Analysis and Design,CSCE,3
4702,Secure Systems Engineering,CSCE,3
4910,Guided Studies in Computer Science and Engineering,CSCE,NULL
4930,Selected Topics in Computer Science and Engineering,CSCE,NULL
5220,Fieldwork in Islamic Architecture,ARIC,3
5221,Seminar on the Architecture of a Selected Period,ARIC,3
5230,"Seminar on a Selected Topic in Medieval Arab/Islamic History, 600-1800 A.D.",ARIC,3
5231,Seminar on the Nineteenth-Century Middle East,ARIC,3
5232,Seminar on the Twentieth-Century Middle East,ARIC,3
5240,Seminar on Selected Topics in Qur'anic Studies,ARIC,3
5241,Seminar on Selected Topics in Sira or Hadith,ARIC,3
5242,Seminar on Selected Topics in Islamic Law and Legal Theory,ARIC,3
5243,"Selected Topics in Islamic Theology, Sufism or Philosophy",ARIC,3
5244,Selected Topics in Islamic Studies,ARIC,3
5245,World Religions and the Study of Religion,ARIC,3
5299,Research Guidance and Thesis,ARIC,0
1010,Eye on Press,ALNG,3
1020,Arabic in Context,ALNG,3
1501,Accelerated Elementary Modern Standard Arabic,ALNG,6
1502,Accelerated High Elementary and Lower Iintermediate Modern Standard Arabic,ALNG,6
1991,Selected Topics,ALNG,3
2010,Current Issues and Egyptian Society,ALNG,3
2131,Arabic of the News Media,ALNG,3
2301,Intermediate Egyptian Colloquial Arabic (ECA),ALNG,3
2991,Selected Topics,ALNG,3
3105,Independent Study,ALNG,3
3131,Advanced Arabic of the News Media,ALNG,3
3327,Egyptian culture on Film,ALNG,3
3912,Learning Arabic through Community Engagement,ALNG,3
3991,Selected Topics,ALNG,3
4221,Arabic Morphology (Sarf) and Prosody ('Arud),ALNG,3
4281,Linguistics of Arabic,ALNG,3
4291,The Phonetics of Arabic,ALNG,3
3919,Arabic through Translation: A course in Bilingual Awareness,ALWT,3
2221,Applied Morphology,ALIN,NULL
2411,Introduction to Egyptian Culture - Intermediate,ALIN,NULL
3411,Introduction to Egyptian Culture - Advanced,ALIN,NULL
2251,Readings in Modern Arabic Literature,ALIN,NULL
3251,Readings in Modern Arabic Literature,ALIN,3
2251,Readings in Modern Arabic Literature,ALIS,1
3251,Readings in Modern Arabic Literature,ALIS,1
1511,Free-hand Representation for Architects,ARCH,3
1521,Digital Representation Tools for Architects,ARCH,2
1561,Architecture: Art or Engineering,ARCH,3
2211,History and Philosophy of Modern and Contemporary Architecture,ARCH,3
2221,Human Aspects in Architectural Design,ARCH,3
2231,Environmental Control Systems and Sustainable Design,ARCH,3
2411,Surveying for Architects,ARCH,1
2512,Foundations of 3-Dimensional Design,ARCH,3
2551,Introduction to Architectural Design,ARCH,3
2552,Architectural Design Studio I,ARCH,4
3311,Detail Design and Finishes in Buildings,ARCH,3
3321,Building Service Systems and Building Systems Integration,ARCH,3
3331,Construction Materials and Quality Control,ARCH,4
3522,Digital Design Studio and Workshop,ARCH,3
3531,Housing Design and Geographic Information Systems,ARCH,3
3553,Architectural Design Studio II,ARCH,4
3554,Architectural Design Studio III,ARCH,4
3562,Introduction to Architectural Engineering,ARCH,3
3950,Internship in Construction Projects,ARCH,0
4312,Design Development and Construction Documents,ARCH,3
4421,"Professional Practice, Design Management and Codes",ARCH,2
4532,Urban Design and Landscape Architecture,ARCH,4
4541,Introduction to Interior Design,ARCH,3
4555,Architectural Design 4,ARCH,4
4557,Architectural Design Studio VI Design Studio Contextual,ARCH,4
4558,Architectural Design Studio VIII Design Studio High Tech,ARCH,4
4561,Vertical Design Studio A,ARCH,5
4562,Vertical Design Studio B,ARCH,5
4570,Senior Design Studio,ARCH,5
4801,Human and Environmental Studies Theory and Dissertation,ARCH,2
4802,Tectonics and Computational Design Theory and Dissertation,ARCH,2
4803,Architecture and Urban Heritage Theory and Dissertation,ARCH,2
4920,Special Problems in Architectural Engineering,ARCH,NULL
4930,Selected Topics in Architectural Engineering,ARCH,3
4931,Introduction to Urban and Architecture Conservation,ARCH,3
4932,Sustainable Landscape architecture in Hot an Arid Environments,ARCH,3
4933,Vernacular Architecture,ARCH,3
4934,"Cairo in the Curriculum, The Urban Laboratory: Mapping Cairo's Complexities",ARCH,3
4935,Coptic Art and Architecture,ARCH,3
4936,Design of Interior Spaces,ARCH,3
4937,Seminar on Contemporary Architecture Discourse,ARCH,3
4938,Urban Dialogues on Heritage and Space,ARCH,3
4939,Advanced Architectural Computing,ARCH,3
4951,Internship in Technical Drawing and Design,ARCH,1
4971,Selected Topics in Human and Environmental Studies of Architectural Engineering,ARCH,3
4972,Selected Topics in Tectonics and Computational Design of Architectural Engineering,ARCH,3
4973,Selected Topics in Architecture and Urban Heritage Design,ARCH,3
4980,Senior Project I,ARCH,2
4981,Senior Project,ARCH,5
5201,Philosophy & Theory of Architecture,ARCH,3
5202,Critical Thinking in Architectural Design,ARCH,3
5221,Research Methods in Architecture,ARCH,3
5290,Research Guidance Thesis,ARCH,3
1010,Introduction to Life Sciences,BIOL,4
1011,Introductory Biology I,BIOL,4
1012,Introductory Biology II,BIOL,4
1040,Essentials of Environmental Biology,BIOL,3
1098,Fundamentals of Neurosciences,BIOL,4
1410,Current Health Issues,BIOL,4
1930,Selected Topic for Core Curriculum,BIOL,3
2090,Quantitative Biology,BIOL,4
2150,Genetics,BIOL,4
2230,Molecular and Cell Biology,BIOL,4
2320,Biophysics,BIOL,4
2340,General Botany,BIOL,4
